"Site","P_900","DOG_900","BM_900","M_900","DOG_P_900","BM_P_900","DOG_R_900","EV_900","P_950","DOG_950","BM_950","M_950","DOG_P_950","BM_P_950","DOG_R_950","EV_950","P_1000","DOG_1000","BM_1000","M_1000","DOG_P_1000","BM_P_1000","DOG_R_1000","EV_1000","P_1050","DOG_1050","BM_1050","M_1050","DOG_P_1050","BM_P_1050","DOG_R_1050","EV_1050","P_1100","DOG_1100","BM_1100","M_1100","DOG_P_1100","BM_P_1100","DOG_R_1100","EV_1100","P_1150","DOG_1150","BM_1150","M_1150","DOG_P_1150","BM_P_1150","DOG_R_1150","EV_1150","SWSN_ID","CSN_macro_group","Mean_Rooms","Size_Class","GH_Count","GK_Count","Dshp_Count","Biwall_Count","Triwall_Count","PubArch","EASTING","NORTHING"
"34-plex Complex",0,0,0,0,NA,NA,NA,NA,15.4528,0.9467,0.4589,0.9467,0.0612639780492856,0.0296968834127148,0.0245055912197142,0.318920401571065,45.9022,6.8067,0.5047,6.8067,0.148287010208661,0.0109951157025153,0.0593148040834644,0.0657856618227813,60.249,12.4488,0.0364,12.4488,0.206622516556291,0.000604159405135355,0.0826490066225166,0.0860404235993651,69.1098,9.9877,0,9.9877,0.144519301170022,0,0.0578077204680089,0.200285738903109,74.7954,2.81,0,2.81,0.0375691553223861,0,0.0150276621289545,0.96096545166582,3371,"San Juan Foothills",4,1,0,1,0,0,0,"1",720000,4130000
"5 Acre Ruin",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,25.1641,19.5587,1,19.5587,0.777246156230503,0.0397391522049269,0.310898462492201,0.0951373838831436,36.0374,14.2754,0,14.2754,0.396127356579553,0,0.158450942631821,0.211979934429339,41.6013,3.166,0,3.166,0.0761033909998005,0,0.0304413563999202,0.9712545032722,3004,"Southeast Utah",100,2,1,2,0,0,0,"3",640000,4160000
"Albert Porter",0,0,0,0,NA,NA,NA,NA,256.8181,23.3966,28.4,23.3966,0.0911018343333277,0.110584106026795,0.0364407337333311,0.322762482738442,2343.7638,539.4123,73.4449,539.4123,0.230147892889207,0.031336306158496,0.0920591571556827,0.0651998736716229,4109.6668,1220.7946,5.1551,1220.7946,0.297054398668038,0.00125438393205016,0.118821759467215,0.0860404235993651,4607.0018,990.1075,0,990.1075,0.214913634285969,0,0.0859654537143875,0.200285738903109,4699.5938,286.289,0,286.289,0.0609178180463171,0,0.0243671272185268,0.96096545166582,3005,"San Juan Foothills",80,2,1,1,0,0,0,"2",690000,4150000
"Allentown",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5.7641,1.3604,0,0,0.236012560503808,0,0.236012560503808,NA,9.7707,1.8683,0,0,0.191214549622852,0,0.191214549622852,1.39120656805734,8.1013,0.585,0,0,0.0722106328613926,0,0.0722106328613926,NA,3006,"Rio Puerco of the West",110,2,1,1,0,0,0,"2",670000,3900000
"Andrews",45.9862,0,16.1643,0,0,0.351503277070078,0,1.34848244143517,60.4729,0,40.9179,0,0,0.676632012025221,0,1.460800917485,75.475,0.4384,27.067,0,0.00580854587611792,0.358622060284862,0.00580854587611792,1.2812698904642,142.7539,28.1326,0,0,0.197070622939198,0,0.197070622939198,1.34571453093316,46.501,24.4291,0,0,0.525345691490505,0,0.525345691490505,1.3845448666647,0,0,0,0,NA,NA,NA,NA,3007,"Lobo Mesa",22,1,1,1,0,0,0,"2",770000,3920000
"Andrews Great Kiva NM",18.7748,0,7.1445,0,0,0.380536676822123,0,1.35602606063592,23.9449,0,21.6763,0,0,0.905257486980526,0,1.4759819928049,20.7256,0.0138,15.179,0,0.000665843208399274,0.732379279731347,0.000665843208399274,1.27877026602223,7.4894,0.5257,0,0,0.0701925387881539,0,0.0701925387881539,1.305058824938,1.065,0.4605,0,0,0.432394366197183,0,0.432394366197183,NA,0,0,0,0,NA,NA,NA,NA,3353,"Lobo Mesa",2,1,0,1,0,0,0,"1",770000,3920000
"Ansell Hall",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,134.3629,97.1028,0,97.044,0.72269056413638,0,0.289338798135497,0.0861323906159378,179.8753,125.0841,0,124.8345,0.695393419774699,0,0.278989944700579,0.200881417011155,137.2487,52.5756,0,52.1215,0.383068109206135,0,0.155212399097405,0.962724543953362,3009,"San Juan Foothills",200,2,1,1,0,0,0,"2",690000,4170000
"Antelope House",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,259.9277,15.0962,230.9999,2.3099,0.0580784579711974,0.888708283111034,0.0527464367976172,0.122307309772762,274.0411,125.7641,0,8.7862,0.458924227059372,0,0.439687258590044,0.62872362788403,255.9676,62.6201,0,2.9039,0.244640727967133,0,0.237833850846748,0.554617761363314,1373,"Upper Chinle Drainage",100,2,1,0,0,0,0,"1",640000,4000000
"Aragon",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1.0375,0,0,0,0,0,0,NA,3.0647,0,0,0,0,0,0,NA,3.2241,0,0,0,0,0,0,NA,665,"",NA,NA,0,1,0,0,0,"1",730000,3750000
"Arch Canyon",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,6.2135,0.1758,0,0,0.0282932324776696,0,0.0282932324776696,NA,6.4367,0.399,0,0,0.0619882859229108,0,0.0619882859229108,NA,4.8138,0.3454,0,0,0.0717520462005069,0,0.0717520462005069,NA,3017,"Southeast Utah",50,1,1,1,0,0,0,"2",620000,4160000
