"OBJECTID","SWSN_Type","SWSN_Ware","Dogozshi","Decoration","Red_slipped","Corrugated","Start_Date","End_Date","Chronology","Chronology2","Plus","References_","Comments","Smudged"
832,"Abajo Polychrome","San Juan Red Ware",,"polychrome",1,0,850,925,1,1,0,"SW Virtual Museum",,
1,"Abajo Red-on-orange","San Juan Red Ware",,"bichrome",1,0,760,880,1,1,0,"Jim Allison; Lucius and Breternitz 1981; ALP project; CCAC Manual",,
1689,"Acoma Glaze Ware, Undifferentiated","Acoma Glaze Ware",0,"polychrome",0,0,1300,1700,1,1,0,,,0
1690,"Acoma Matte Paint, Undifferentiated","Acoma Matte Paint",0,"undifferentiated dec",0,0,1700,1900,1,1,0,,,0
3,"Acoma Polychrome","Acoma Matte Paint",,"polychrome",0,0,1890,1900,1,1,1,"Harlow 1973",,
4,"Acomita Polychrome","Acoma Matte Paint",,"polychrome",0,0,1750,1850,1,1,0,"Dittert and Plog 1980",,
644,"Adamana Brown","Adamana Brown Ware",,"plain",0,0,300,550,1,0,0,"Burton et al 2007; Reuven Sinensky",,
5,"Agua Fria Glaze-on-red (Glaze A)","Rio Grande Glaze Ware",,"bichrome",1,0,1313,1500,1,1,1,"Eckert 2006",,
6,"Ako Polychrome","Acoma Matte Paint",,"polychrome",0,0,1700,1750,1,1,0,"Dittert and Plog 1980",,
477,"Alameda Brown Ware, Type Undifferentiated","Alameda Brown Ware",,"undifferentiated",0,0,700,1400,0,0,0,"Colton and Hargrave 1937, Schroeder 1960, Colton 1958",,
565,"Alameda Corrugated Brown Ware, Type Undifferentiated","Alameda Brown Ware",,"plain",0,1,1080,1385,0,0,0,"see pure types",,
1189,"Alma Incised","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
564,"Alma Neck Banded","Mogollon Brown Ware",,"plain",0,1,665,910,1,0,0,"Haury 1936",,
1186,"Alma Plain","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
1190,"Alma Punctate","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
1187,"Alma Rough","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
1202,"Alma Rough, Smudged","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,1
1188,"Alma Scored","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
559,"Alma Series type","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,"Haury 1936, Hays-Gilpin 1998",,
887,"Alma series type, Smudged","Mogollon Brown Ware",,"plain",0,0,300,1000,0,0,0,,,1
1685,"Alpha Glaze","Acoma Glaze Ware",0,"polychrome",0,0,1300,1450,1,1,0,,,0
1002,"Amusovi Polychrome","Tsegi Orange Ware",,"polychrome",1,0,1110,1320,1,1,0,"SW Virtual Museum",,
1203,"Anchondo Red-on-brown","Chihuahuan Brown Ware",0,"bichrome",0,0,600,1200,1,0,0,,,0
907,"Angell Brown","Alameda Brown Ware",0,"plain",0,0,1000,1150,1,0,,,,0
643,"Apache Plain","Apache Plain Ware",,"Plain",0,0,1700,1850,1,0,0,"NAU ceramic manual 2001",,
7,"Aquarius Black-on-brown","Tizon Brown Ware",,"bichrome",0,0,900,1890,1,1,0,"Dobyns and Euler 1958",,
8,"Aquarius Black-on-orange","Prescott Gray Ware",,"bichrome",0,0,1000,1100,1,1,0,"Windes 1977",,
9,"Aquarius Brown","Tizon Brown Ware",,"plain",0,0,900,1890,0,0,0,"Dobyns and Euler 1958",,
10,"Aquarius Orange","Prescott Gray Ware",,"plain",0,0,1000,1100,1,0,0,"Colton 1939; Colton 1958",,
