"SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"1","665","Aragon","Cibola White Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.7895","0.7199","0.6462","0.5709","0.4952","0.4229","0.3554","0","0","0"
"2","665","Aragon","Mogollon Corrugated Brown Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.1503","0.1546","0.1546","0.1503","0.1423","0.1309","0.1171","0","0","0"
"3","665","Aragon","Mogollon Indented Corrugated Brown Ware","0","0","0","0","0","0","0","0","0","0","0","0.1461","0.1993","0.2556","0.308","0.3488","0.3711","0.3711","0","0","0"
"4","665","Aragon","Mogollon Patterned Corrugated Brown Ware, Smudged","0","0","0","0","0","0","0","0","0","0","0","0.073","0.0997","0.1278","0.154","0.1744","0.1856","0.1856","0","0","0"
"5","665","Aragon","Mogollon Plain Brown Ware","0","0","0","0","0","0","0","0","0","0","0","0.1828","0.1697","0.1562","0.1427","0.1292","0.1161","0.1034","0","0","0"
"6","665","Aragon","Mogollon Plain Corrugated Brown Ware","0","0","0","0","0","0","0","0","0","0","0","0.1214","0.1368","0.1482","0.1542","0.1542","0.1482","0.1368","0","0","0"
"7","665","Aragon","Mogollon Plain Corrugated Brown Ware, Smudged","0","0","0","0","0","0","0","0","0","0","0","0.1214","0.1368","0.1482","0.1542","0.1542","0.1482","0.1368","0","0","0"
"8","665","Aragon","Puerco Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.1206","0.2065","0.2526","0.2208","0.1379","0.0615","0","0","0","0"
"9","665","Aragon","Red Ware type, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.2582","0.2714","0.2825","0.2911","0.297","0.2999","0.2999","0","0","0"
"10","665","Aragon","Reserve Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.0717","0.169","0.2593","0.2593","0.169","0.0717","0","0","0","0"
"11","665","Aragon","Snowflake Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2065","0.4573","0.7365","0.8632","0.7365","0","0","0"
"12","665","Aragon","St. Johns Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"13","665","Aragon","Tularosa Fillet Rim","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2686","0.5051","0.8112","1.1124","1.3026","0","0","0"
"14","665","Aragon","Wingate Black-on-red","0","0","0","0","0","0","0","0","0","0","0","0.1127","0.2496","0.402","0.4712","0.402","0.2496","0.1127","0","0","0"
"15","665","Aragon","Wingate Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0967","0.2404","0.3257","0.2404","0.0967","0","0","0"
"16","708","Aztec","Aztec Black","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.332","0.834","0.834","0"
"17","708","Aztec","Black Mesa Black-on-white","0","0","0","0","0","0","0","0","0","0","0","4.0549","1.9451","0","0","0","0","0","0","0","0"
"18","708","Aztec","Black-on-red, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","1.9953","2.0975","2.183","2.2494","2.2948","2.3179","2.3179","2.2948","2.2494","0"
"19","708","Aztec","Blue Shale Corrugated","0","0","0","0","0","0","0","0","0","0","0","1.6397","1.2249","0.7537","0.3817","0","0","0","0","0","0"
"20","708","Aztec","Brimhall Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.1972","0.3655","0.3133","0.124","0","0","0","0","0","0"
"21","708","Aztec","Cameron Polychrome","0","0","0","0","0","0","0","0","0","0","0","1.9932","3.9194","4.386","2.795","0.9064","0","0","0","0","0"
"22","708","Aztec","Chaco Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","7.4612","16.0777","7.4612","0","0","0","0","0","0"
"23","708","Aztec","Chaco-McElmo Black-on-white (carbon paint)","0","0","0","0","0","0","0","0","0","0","0","0","20.2825","150.361","217.6502","91.7063","0","0","0","0","0"
"24","708","Aztec","Chuska Black-on-white","0","0","0","0","0","0","0","0","0","0","0","6.8685","9.9423","4.1892","0","0","0","0","0","0","0"
"25","708","Aztec","Cibola PII White Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","57.9547","29.0453","0","0","0","0","0","0","0","0"
"26","708","Aztec","Cibola PII/PIII White Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.7515","0.7774","0.76","0.7023","0.6134","0.5063","0.395","0.2912","0.203","0"
"27","708","Aztec","Cibola PIII White Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0","0","59.8594","124.7921","203.642","260.1362","260.1362","203.642","124.7921","0"
"28","708","Aztec","Citadel Polychrome","0","0","0","0","0","0","0","0","0","0","0","1.348","2.6626","3.6031","3.3407","2.1222","0.9234","0","0","0","0"
"29","708","Aztec","Corrugated Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","481.7836","495.6183","495.6183","481.7836","456.0825","419.6901","375.4303","327.0522","276.9412","0"
"30","708","Aztec","Cortez Black-on-white","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0"
"31","708","Aztec","Crumbled House Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6182","1.4561","2.2348","2.2348","1.4561","0"
"32","708","Aztec","Dogoszhi Black-on-white","0","0","0","0","0","0","0","0","0","0","0","1.3791","2.7024","3.7816","3.7816","2.7024","1.3791","0.2738","0","0","0"
"33","708","Aztec","Dogoszhi Polychrome","0","0","0","0","0","0","0","0","0","0","0","1.7959","3.0511","4.5707","6.0318","7.02","7.1974","6.508","5.184","3.641","0"
"34","708","Aztec","Dolores Corrugated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4272","1.0728","1.0728","0.4272","0","0","0","0"
"35","708","Aztec","Escavada Black-on-white","0","0","0","0","0","0","0","0","0","0","0","58.6491","23.3509","0","0","0","0","0","0","0","0"
"36","708","Aztec","Flagstaff Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8207","1.6357","0.5436","0","0","0"
"37","708","Aztec","Gallup Black-on-white","0","0","0","0","0","0","0","0","0","0","0","29.5739","54.8283","46.9916","18.6062","0","0","0","0","0","0"
"38","708","Aztec","Hunter Corrugated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0968","0.2018","0.3293","0.4206","0.4206","0.3293","0.2018","0"
