SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING
3371,34-plex Complex,San Juan Foothills,4,1,0,1,0,0,0,1,720000,4130000
3004,5 Acre Ruin,Southeast Utah,100,2,1,2,0,0,0,3,640000,4160000
3005,Albert Porter,San Juan Foothills,80,2,1,1,0,0,0,2,690000,4150000
3006,Allentown,Rio Puerco of the West,110,2,1,1,0,0,0,2,670000,3900000
3007,Andrews,Lobo Mesa,22,1,1,1,0,0,0,2,770000,3920000
3353,Andrews Great Kiva NM,Lobo Mesa,2,1,0,1,0,0,0,1,770000,3920000
3009,Ansell Hall,San Juan Foothills,200,2,1,1,0,0,0,2,690000,4170000
1373,Antelope House,Upper Chinle Drainage,100,2,1,0,0,0,0,1,640000,4000000
665,Aragon,,,,0,1,0,0,0,1,730000,3750000
3017,Arch Canyon,Southeast Utah,50,1,1,1,0,0,0,2,620000,4160000
1967,Atsee Nitsaa,Rio Puerco of the West,50,1,1,1,0,0,0,2,680000,3920000
3020,AZ P:11:124 (ASU),Silver Creek,45,1,0,1,0,0,0,1,590000,3810000
3021,AZ P:11:130 (ASU),Silver Creek,50,1,0,1,0,0,0,1,580000,3810000
3022,AZ P:11:55 (ASU),Silver Creek,15,1,0,1,0,0,0,1,570000,3800000
3023,AZ P:11:57 (ASU),Silver Creek,40,1,0,1,0,0,0,1,570000,3800000
3024,AZ P:12:105 (ASU),Silver Creek,30,1,0,1,0,0,0,1,580000,3820000
3026,AZ P:12:404 (ASM),Silver Creek,,,0,1,0,0,0,1,580000,3810000
3027,AZ P:12:76 (ASU),Silver Creek,30,1,0,1,0,0,0,1,580000,3810000
3028,AZ P:12:99 (ASU),Silver Creek,65,1,0,1,0,0,0,1,580000,3810000
3030,AZ P:16:160 (ASM),Silver Creek,12,1,0,1,0,0,0,1,580000,3790000
3033,AZ Q:3:64 (ASM),Hardscrabble/ULC,,,0,1,0,0,0,1,650000,3850000
3350,AZ-P-52-8-NN,Rio Puerco of the West,8,1,1,0,0,0,0,1,630000,3890000
708,Aztec,Middle San Juan,750,4,3,3,0,2,3,4+,770000,4080000
3399,Aztec North,Middle San Juan,15,1,1,2,0,0,0,3,770000,4080000
3035,Bad Dog Ridge,Defiance Plateau,15,1,1,1,0,0,0,2,640000,3930000
3039,Bancos Village,Middle San Juan,17,1,0,1,0,0,0,1,820000,4090000
3360,Bass Complex,San Juan Foothills,180,2,1,0,0,0,0,1,690000,4150000
3419,Battleship Rock Pueblo,San Juan Foothills,11,1,0,1,0,0,0,1,,
1239,Bean Patch,Hardscrabble/ULC,58,1,1,0,0,0,0,1,670000,3840000
3040,Bee Burrow,Central San Juan Basin,11,1,1,0,0,0,0,1,770000,3970000
3044,Bis'saani East,Central San Juan Basin,25,1,1,1,0,0,0,2,790000,4000000
3045,Bis'saani West,Central San Juan Basin,12,1,1,1,0,0,0,2,790000,4000000
3046,Black Creek Flat,Chuska Slope,24,1,1,0,0,0,0,1,700000,3960000
3047,Black Mesa Ruin,Southeast Utah,,,1,0,0,0,0,1,630000,4150000
3048,Blackrock Gaddy,Defiance Plateau,30,1,1,0,0,0,0,1,630000,3920000
3049,Blue J,Lobo Mesa,4,1,1,0,0,0,0,1,770000,3930000
3051,Bluewater Spring,Lobo Mesa,30,1,1,1,0,0,0,2,770000,3950000
3053,Bluff Bench Great Kiva,Southeast Utah,,,0,1,0,0,0,1,630000,4140000
3052,Bluff Great House,Southeast Utah,50,1,1,1,0,0,0,2,630000,4130000
3428,Bowman Site East,Chuska Slope,6,1,1,0,0,0,0,1,700000,3950000
1531,Burnt Corn GH,Black Mesa,50,1,1,0,0,0,0,1,580000,3990000
3404,Canal Creek Great Kiva,Middle San Juan,4,1,0,1,0,0,0,1,690000,4090000
3056,Carhart Ruin,San Juan Foothills,,,1,1,0,0,0,2,670000,4170000
3057,Carol's Ruin,San Juan Foothills,,,0,1,0,0,0,1,680000,4150000
1244,Carter Ranch Pueblo,Silver Creek,45,1,0,1,0,0,0,1,600000,3820000
3059,Casa Abajo,Central San Juan Basin,9,1,1,0,0,0,0,1,750000,3990000
3061,Casa Cielo,Central San Juan Basin,12,1,1,0,0,0,0,1,750000,3990000
3062,Casa del Rio,Central San Juan Basin,130,2,1,0,0,0,0,1,760000,4000000
3063,Casa Escondida,Central San Juan Basin,7,1,1,1,0,0,0,2,760000,3980000
3064,Casa Estrella,Lobo Mesa,8,1,1,0,0,0,0,1,750000,3960000
2997,Casa Mosca,Acoma,72,2,1,1,0,0,0,2,780000,3850000
3065,Casa Negra,San Juan Foothills,60,1,1,1,0,0,0,2,700000,4140000
3066,Casa Patricio,Central San Juan Basin,,,0,1,0,0,0,1,770000,3980000
3067,Casa Rinconada,Chaco Canyon,,,0,1,0,0,0,1,770000,3990000
3068,Casamero,Lobo Mesa,30,1,1,1,0,0,0,2,770000,3920000
1618,Castle Rock Pueblo,San Juan Foothills,70,2,0,0,1,0,0,1,690000,4140000
3351,Cerritos de Jaspe GK,Acoma,7,1,0,1,0,0,0,1,770000,3870000
3069,Cerro Pomo,Mariana Mesa/Quemado,40,1,1,1,0,0,0,2,710000,3800000
1942,Cerro Prieto--Quemado,Mariana Mesa/Quemado,175,2,1,0,0,0,0,1,720000,3830000
3070,Chaco East,Central San Juan Basin,25,1,1,0,0,0,0,1,790000,3990000
3071,Chacra Mesa Great Kiva,Chaco Canyon,,,0,1,0,0,0,1,780000,3990000
3072,Chambers Great House,Rio Puerco of the West,40,1,1,1,0,0,0,2,640000,3900000
3073,Chetro Ketl,Chaco Canyon,490,3,1,1,0,0,0,2,770000,3990000
3074,Chimney Rock,San Juan Foothills,55,1,1,1,0,0,0,2,830000,4120000
3075,Church Rock,Rio Puerco of the West,20,1,1,1,0,0,0,2,720000,3940000
3076,Cline Point,Silver Creek,25,1,0,1,0,0,0,1,560000,3800000
3078,Coalbed Village,Southeast Utah,125,2,1,1,0,0,0,2,660000,4160000
3081,Coolidge,Rio Puerco of the West,29,1,2,3,0,0,0,4+,740000,3930000
994,Cornfields,Defiance Plateau,275,3,1,0,0,0,0,1,620000,3950000
3083,Cothruns,Silver Creek,6,1,0,1,0,0,0,1,570000,3800000
3084,Cottonwood Falls,Southeast Utah,85,2,1,1,0,0,0,2,620000,4160000
1988,Cox Ranch,Mariana Mesa/Quemado,50,1,1,1,0,0,0,2,700000,3810000
3086,Coyotes Sing Here,Lobo Mesa,17,1,1,1,0,0,0,2,770000,3930000
754,Crumbled House,Chuska Slope,,,1,0,0,0,0,1,700000,4010000
3087,CS219,Silver Creek,,,0,1,0,0,0,1,580000,3790000
3088,CS689,West,,,0,1,0,0,0,1,510000,3830000
3089,Cuatro Payasos,Central San Juan Basin,14,1,1,0,0,0,0,1,740000,4010000
3090,Dalton Pass,Lobo Mesa,20,1,1,1,0,0,0,2,740000,3960000
2602,Dancing Rock GH,Upper Chinle Drainage,9,1,1,0,0,0,0,1,630000,4060000
3091,Danson 202,Mariana Mesa/Quemado,50,1,1,0,0,0,0,1,730000,3800000
3093,Deer Springs,Chuska Slope,7,1,1,0,0,0,0,1,700000,3960000
2999,Dittert Ranch,Acoma,40,1,1,0,0,0,0,1,780000,3840000
3429,Dye Wash,Chuska Slope,,,1,0,0,0,0,1,710000,3960000
3096,Dzil Nda Kai,Central San Juan Basin,8,1,1,0,0,0,0,1,720000,3970000
977,Eagle Crag,Defiance Plateau,100,2,1,0,0,0,0,1,610000,3960000
3097,Edge of the Cedars,Southeast Utah,16,1,1,1,0,0,0,2,630000,4170000
3098,El Malpais,Middle San Juan,20,1,1,2,0,0,0,3,700000,4080000
3099,El Rito,Lobo Mesa,55,1,1,1,0,0,0,2,800000,3910000
3334,Escalante GH,San Juan Foothills,25,1,1,0,0,0,0,1,720000,4150000
3101,Escalon A,Central San Juan Basin,6,1,2,2,0,0,0,4+,740000,4000000
3102,Escalon B,Central San Juan Basin,14,1,0,0,0,0,0,1,740000,4000000
3103,Et Al Site,Southeast Utah,25,1,1,1,0,0,0,2,590000,4140000
3104,Fajada Gap Great Kiva,Chaco Canyon,,,0,1,0,0,0,1,780000,3990000
3396,Farmer Complex,Middle San Juan,40,1,1,0,0,0,0,1,770000,4080000
1307,Fenced Up Horse Canyon,Rio Puerco of the West,153,2,1,1,0,0,0,2,720000,3930000
3106,Figueredo,Chuska Slope,20,1,1,1,0,0,0,2,700000,3960000
730,Flora Vista,Middle San Juan,150,2,0,1,0,0,0,1,760000,4080000
3107,Fort Defiance--Thunder Ridge,Chuska Slope,,,1,2,0,0,0,3,680000,3960000
734,Fort Wingate,Rio Puerco of the West,100,2,1,1,0,0,0,2,730000,3930000
2982,FSOP02 Great Kiva,Cibola,50,1,0,1,0,0,0,1,720000,3870000
3109,Ganado,Defiance Plateau,16,1,1,1,0,0,0,2,630000,3950000
1240,Garcia Ranch,Hardscrabble/ULC,150,2,1,1,0,0,0,2,670000,3820000
3111,Garcia Ranch Bench,Hardscrabble/ULC,36,1,0,1,0,0,0,1,670000,3820000
3401,Gillentine Site,Middle San Juan,,,0,2,0,0,0,2,760000,4080000
1099,Goesling,Hardscrabble/ULC,200,2,1,1,0,0,0,2,680000,3810000
3114,Goodman Point,San Juan Foothills,500,3,1,1,0,0,0,2,700000,4140000
3344,Gravel Pit Ruin,Southeast Utah,20,1,0,1,0,0,0,1,640000,4140000
3116,Greasewood Flat,Southeast Utah,,,1,1,0,0,0,2,650000,4130000
