SWSN_Type,SWSN_Ware,Start_Date,End_Date,Dogoszhi,Black Mesa,Include,Decoration
Acoma Polychrome,Acoma Matte Paint,1890,1900,0,0,1,polychrome
Acomita Polychrome,Acoma Matte Paint,1750,1850,0,0,1,polychrome
Ako Polychrome,Acoma Matte Paint,1700,1750,0,0,1,polychrome
McCartys Polychrome,Acoma Matte Paint,1850,1875,0,0,1,polychrome
Adamana Brown,Adamana Brown Ware,300,550,0,0,0,plain
Sunset White-on-Red,Alameda Brown Ware,1065,1200,0,0,1,bichrome
Turkey Hill White-on-red,Alameda Brown Ware,1100,1200,0,0,1,bichrome
Tuzigoot Red-on-black,Alameda Brown Ware,1300,1425,0,0,1,bichrome
Tuzigoot White-on-Red,Alameda Brown Ware,1300,1425,0,0,1,bichrome
Babacomari Bichrome,Babacomari Series,700,1300,0,0,1,bichrome
Babacomari Polychrome,Babacomari Series,1250,1450,0,0,1,polychrome
Babicora Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
Carretas Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
"Chihuahuan polychrome, Undifferentiated",Chihuahuan Series,1200,1450,0,0,2,polychrome
Corralitos Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
Dublan Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
Escondida Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
Huerigos Polychrome,Chihuahuan Series,1350,1450,0,0,1,polychrome
Ramos Polychrome,Chihuahuan Series,1200,1450,0,0,1,polychrome
Villa Ahumada Polychrome,Chihuahuan Series,1350,1450,0,0,1,polychrome
"Chihuahuan type, Undifferentiated",Chihuahuan Series,1200,1450,0,0,2,undifferentiated dec
Lino Gray (trachyte),Chuska Gray Ware,550,950,0,0,0,plain
"Chuska Orange Ware, Undifferentiated",Chuska Orange Ware,825,875,0,0,2,bichrome
Sanostee Black-on-red,Chuska Orange Ware,825,875,0,0,1,bichrome
Sanostee Red-on-Orange,Chuska Orange Ware,825,875,0,0,1,bichrome
Brimhall Black-on-white,Chuska White Ware,1040,1150,1,0,1,bichrome
Brimhall/Taylor Black-on-white,Chuska White Ware,1000,1150,0,0,1,bichrome
